head,name,actual2006,approved2006,revised2006,estimate2006,actual2007,approved2007,revised2007,estimate2007,actual2008,approved2008,revised2008,estimate2008,actual2009,approved2009,revised2009,estimate2009,actual2010,approved2010,revised2010,estimate2010,actual2011,approved2011,revised2011,estimate2011,actual2012,approved2012,revised2012,estimate2012,actual2013,approved2013,revised2013,estimate2013,actual2014,approved2014,revised2014,estimate2014
612,Player509,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,216500,,,,
613,Player510,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,217000,,,,
614,Player511,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,217500,,,,
615,Player512,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,218000,,,,
616,Player513,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,218500,,,,
617,Player514,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,219000,,,,
618,Player515,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,219500,,,,
619,Player516,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,,,,
620,Player517,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,220500,,,,
621,Player518,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,221000,,,,
622,Player519,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,221500,,,,
623,Player520,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,222000,,,,
624,Player521,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,222500,,,,
625,Player522,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,223000,,,,
626,Player523,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,223500,,,,
627,Player524,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,,,,
628,Player525,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,224500,,,,
629,Player526,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,225000,,,,
630,Player527,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,225500,,,,
631,Player528,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,226000,,,,
632,Player529,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,226500,,,,
633,Player530,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,227000,,,,
634,Player531,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,227500,,,,
635,Player532,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,,,,
636,Player533,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,228500,,,,
637,Player534,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,229000,,,,
638,Player535,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,229500,,,,
639,Player536,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,230000,,,,
640,Player537,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,230500,,,,
641,Player538,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,231000,,,,
642,Player539,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,231500,,,,
643,Player540,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,,,,
644,Player541,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,232500,,,,
645,Player542,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,233000,,,,
646,Player543,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,233500,,,,
647,Player544,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,234000,,,,
648,Player545,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,234500,,,,
649,Player546,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,235000,,,,
650,Player547,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,235500,,,,
651,Player548,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,236000,,,,
652,Player549,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,236500,,,,
653,Player550,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,,,,
654,Player551,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,237500,,,,
655,Player552,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,,,,
656,Player553,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,238500,,,,
657,Player554,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,,,,
658,Player555,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,239500,,,,
659,Player556,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,,,,
660,Player557,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,240500,,,,
661,Player558,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,,,,
662,Player559,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,241500,,,,
663,Player560,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,242000,,,,
664,Player561,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,242500,,,,
665,Player562,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,243000,,,,
666,Player563,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,243500,,,,
667,Player564,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,244000,,,,
668,Player565,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,244500,,,,
669,Player566,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,,,,
670,Player567,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,245500,,,,
671,Player568,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,,,,
672,Player569,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,246500,,,,
673,Player570,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,247000,,,,
674,Player571,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,247500,,,,
675,Player572,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,,,,
676,Player573,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,248500,,,,
677,Player574,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,249000,,,,
678,Player575,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,249500,,,,
679,Player576,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,,,,
680,Player577,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,250500,,,,
681,Player578,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,251000,,,,
682,Player579,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,251500,,,,
683,Player580,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,,,,
684,Player581,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,252500,,,,
685,Player582,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,253000,,,,
686,Player583,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,253500,,,,
687,Player584,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,254000,,,,
688,Player585,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,254500,,,,
689,Player586,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,,,,
690,Player587,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,255500,,,,
691,Player588,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,256000,,,,
692,Player589,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,256500,,,,
693,Player590,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,257000,,,,
694,Player591,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,257500,,,,
695,Player592,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,258000,,,,
696,Player593,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,258500,,,,
697,Player594,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,,,,
698,Player595,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,259500,,,,
699,Player596,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000,,,,
700,Player597,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,260500,,,,
